"","x"
"1",0
"2",0.239953488
"3",1.243900923
"4",0.130388045
"5",-0.310378857
"6",0.182601318
"7",1.519382809
"8",0.182681475
"9",1.475240654
"10",0.819871641
"11",1.585836696
"12",0.777556873
"13",-0.528184603
"14",3.670253246
"15",-0.028843423
"16",0.904640827
"17",-0.245021497
"18",1.906490551
"19",2.763892911
"20",0.645682566
"21",0.883020398
"22",0.597761209
"23",-0.034780099
"24",-0.885293144
"25",1.05918443
"26",1.643149836
"27",-0.510667868
"28",0.590186649
"29",2.416380554
"30",-1.338221268
"31",0.60887261
"32",0.806970243
"33",1.338476272
"34",-1.694119704
"35",-0.300116794
"36",-0.932857964
"37",-0.305098897
"38",0.660369193
"39",0.109576507
"40",-2.172765288
"41",0.310398397
"42",-0.870572291
"43",-0.145149779
"44",0.86715854
"45",-0.45413915
"46",-1.162764306
"47",0.591166886
"48",-1.592454489
"49",0.59109574
"50",-1.071724604
"51",-0.121251579
"52",-0.096441248
"53",-0.561737658
"54",-0.200313523
"55",-0.961827946
"56",-0.87842913
"57",0.382674591
"58",-0.170109931
"59",-0.238181802
"60",-0.372846592
"61",-0.404402756
"62",-0.252336233
"63",-2.454768595
"64",1.239601954
"65",0.836238586
"66",-1.411516861
"67",0.377469686
"68",-1.488108208
"69",-0.774188658
"70",-0.380624577
"71",0.589978456
"72",-0.432127968
"73",0.427684047
"74",-1.381662651
"75",1.003918073
"76",-1.009680194
"77",1.211870148
"78",-1.917794655
"79",-0.772396744
"80",-0.632064223
"81",-1.173483393
"82",-1.100413927
"83",-1.511082688
"84",-0.91015926
"85",-0.980823255
"86",-1.142146763
"87",0.349336027
"88",-1.64656126
"89",-0.600557761
"90",-0.496720882
"91",-0.270905894
"92",-0.813324521
"93",-0.696855124
"94",0.198579521
"95",-1.198135346
"96",-0.093959698
"97",-0.15290067
"98",-0.304640646
"99",-2.086557866
"100",0.439344008
"101",-0.748183389395985
"102",-0.562221112339031
"103",-0.562221112339031
"104",-0.562221112339031
"105",-0.562221112339031
"106",-0.562221112339031
"107",-0.562221112339031
"108",-0.562221112339031
"109",-0.562221112339031
"110",-0.562221112339031
"111",-0.562221112339031
"112",-0.562221112339031
"113",-0.562221112339031
"114",-0.562221112339031
"115",-0.562221112339031
"116",-0.562221112339031
"117",-0.562221112339031
"118",-0.562221112339031
"119",-0.562221112339031
"120",-0.562221112339031
